name,ARname,ingredients,ARingredients,diet,ARdiet,prep_time,cook_time,flavor_profile,course,ARflavor_profile,ARcourse,state,region
Balu shahi,بالو شاهي,"Maida flour, yogurt, oil, sugar",دقيق مائدة، زبادي، زيت، سكر,vegetarian,نباتي,45,25,sweet,dessert,حلو,تحلية,West Bengal,East
Boondi,بوندي,"Gram flour, ghee, sugar",جرام دقيق، سمن، سكر,vegetarian,نباتي,80,30,sweet,dessert,حلو,تحلية,Rajasthan,West
Gajar ka halwa,جاجار كا حلوة,"Carrots, milk, sugar, ghee, cashews, raisins",جزر، حليب، سكر، سمن، كاجو، زبيب,vegetarian,نباتي,15,60,sweet,dessert,حلو,تحلية,Punjab,North
Ghevar,غيفار,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",طحين، سمن، كيورا، حليب، زبدة، سكر، لوز، فستق، زعفران، هيل أخضر,vegetarian,نباتي,15,30,sweet,dessert,حلو,تحلية,Rajasthan,West
Gulab beef,جلاب بقر,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",حليب بودرة ، دقيق عادي ، بيكنج باودر ، سمن ، حليب ، سكر ، ماء ، ماء ورد,vegetarian,نباتي,15,40,sweet,dessert,حلو,تحلية,West Bengal,East
Imarti,إيمارتي,"Sugar syrup, lentil flour",شراب السكر، دقيق العدس,vegetarian,نباتي,10,50,sweet,dessert,حلو,تحلية,West Bengal,East
Jalebi,جاليبي,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",مايدة ، دقيق الذرة ، صودا الخبز ، خل ، خثارة ، ماء ، كركم ، زعفران ، هيل,vegetarian,نباتي,10,50,sweet,dessert,حلو,تحلية,Uttar Pradesh,North
Kaju katli,كاجو كاتلي,"Cashews, ghee, cardamom, sugar",كاجو، سمن، هيل، سكر,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,-1,-1
Kalakand,كالكاند,"Milk, cottage cheese, sugar",الحليب، الجبن، السكر,vegetarian,نباتي,20,30,sweet,dessert,حلو,تحلية,West Bengal,East
Kheer,خير,"Milk, rice, sugar, dried fruits",الحليب والأرز والسكر والفواكه المجففة,vegetarian,نباتي,10,40,sweet,dessert,حلو,تحلية,-1,-1
Laddu,لادو,"Gram flour, ghee, sugar",جرام دقيق، سمن، سكر,vegetarian,نباتي,10,40,sweet,dessert,حلو,تحلية,-1,-1
Lassi,لاسي,"Yogurt, milk, nuts, sugar",زبادي، حليب، مكسرات، سكر,vegetarian,نباتي,5,5,sweet,dessert,حلو,تحلية,Punjab,North
Nankhatai,نانخاتاي,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",دقيق مكرر، بيسان، سمن، سكر بودرة، زبادي، هيل أخضر,vegetarian,نباتي,20,30,sweet,dessert,حلو,تحلية,-1,-1
Petha,بيتا,"Firm white pumpkin, sugar, kitchen lime, alum powder",يقطين أبيض متماسك، سكر، ليمون مطبخ، مسحوق الشبة,vegetarian,نباتي,10,30,sweet,dessert,حلو,تحلية,Uttar Pradesh,North
Phirni,فيرني,"Rice, sugar, nuts",الأرز والسكر والمكسرات,vegetarian,نباتي,30,20,sweet,dessert,حلو,تحلية,Odisha,East
Rabri,رابري,"Condensed milk, sugar, spices, nuts",حليب مكثف، سكر، بهارات، مكسرات,vegetarian,نباتي,10,45,sweet,dessert,حلو,تحلية,Uttar Pradesh,North
Sheera,شيرا,"Semolina, ghee, nuts, milk",سميد، سمن، مكسرات، حليب,vegetarian,نباتي,10,25,sweet,dessert,حلو,تحلية,Maharashtra,West
Singori,سينجوري,"Khoa, coconut, molu leaf",خوا، جوز الهند، ورق المولو,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Uttarakhand,North
Sohan halwa,سوهان حلوة,"Corn flour, ghee, dry fruits",دقيق الذرة، السمن، الفواكه الجافة,vegetarian,نباتي,10,60,sweet,dessert,حلو,تحلية,Uttar Pradesh,North
Sohan papdi,سوهان بابدي,"Gram flour, ghee, sugar, milk, cardamom",جرام دقيق، سمن، سكر، حليب، هيل,vegetarian,نباتي,-1,60,sweet,dessert,حلو,تحلية,Maharashtra,West
Chhena jalebi,تشينا جاليبي,"Chhena, sugar, ghee",شينا، سكر، سمن,vegetarian,نباتي,10,50,sweet,dessert,حلو,تحلية,Odisha,East
Chhena kheeri,شينا خيري,"Chhena, sugar, milk",تشينا، سكر، حليب,vegetarian,نباتي,-1,60,sweet,dessert,حلو,تحلية,Odisha,East
Chhena poda,تشينا بودا,"Sugar, chenna cheese",سكر، جبنة شينا,vegetarian,نباتي,10,45,sweet,dessert,حلو,تحلية,Odisha,East
Cham cham,شام شام,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",دقيق، كريمة، سكر، زعفران، عصير ليمون، رقائق جوز الهند,vegetarian,نباتي,40,60,sweet,dessert,حلو,تحلية,West Bengal,East
Kheer sagar,خير ساجار,"Chenna, condensed milk, sugar, saffron, cardamom",الشنا، الحليب المكثف، السكر، الزعفران، الهيل,vegetarian,نباتي,25,60,sweet,dessert,حلو,تحلية,Odisha,East
Ledikeni,ليديكيني,"Chhena, sugar, ghee",شينا، سكر، سمن,vegetarian,نباتي,45,45,sweet,dessert,حلو,تحلية,West Bengal,East
Lyangcha,ليانجشا,"Flour, fried milk power, sugar syrup",دقيق، حليب مقلي، شراب السكر,vegetarian,نباتي,20,30,sweet,dessert,حلو,تحلية,Assam,North East
Malapua,مالابوا,"Yoghurt, refined flour, ghee, fennel seeds",الزبادي، الدقيق المكرر، السمن، بذور الشمر,vegetarian,نباتي,10,120,sweet,dessert,حلو,تحلية,Bihar,North
Mihidana,ميهيدانا,"Besan flour, sugar, ghee",دقيق بيسان، سكر، سمن,vegetarian,نباتي,15,30,sweet,dessert,حلو,تحلية,West Bengal,East
Misti doi,ميستي دوي,"Milk, jaggery",حليب، جرجير,vegetarian,نباتي,480,30,sweet,dessert,حلو,تحلية,West Bengal,East
Pantua,بانتوا,"Chhena, sugar, ghee, flour",شينا، سكر، سمن، طحين,vegetarian,نباتي,45,45,sweet,dessert,حلو,تحلية,West Bengal,East
Pithe,بيث,"Rice flour, wheat flour",دقيق الأرز، دقيق القمح,vegetarian,نباتي,15,35,sweet,dessert,حلو,تحلية,Assam,North East
Rasabali,راسابالي,"Chenna, sweetened milk",الشنا، الحليب المحلى,vegetarian,نباتي,15,30,sweet,dessert,حلو,تحلية,Odisha,East
Ras malai,راسمالاي,"Chhena, reduced milk, pistachio",شينا، حليب مخفف، فستق,vegetarian,نباتي,180,60,sweet,dessert,حلو,تحلية,West Bengal,East
Rasgulla,راسغولا,"Chhena, sugar, cardamom",شينا، سكر، هيل,vegetarian,نباتي,10,90,sweet,dessert,حلو,تحلية,West Bengal,East
Sandesh,سانديش,"Milk, sugar, saffron, cardamom",حليب، سكر، زعفران، هيل,vegetarian,نباتي,30,20,sweet,dessert,حلو,تحلية,West Bengal,East
Adhirasam,أديراسام,"Rice flour, jaggery, ghee, vegetable oil, elachi",دقيق الأرز، الجاجري، السمن، الزيت النباتي، إيلاشي,vegetarian,نباتي,10,50,sweet,dessert,حلو,تحلية,West Bengal,East
Ariselu,أريسيلو,"Rice flour, jaggery, ghee",دقيق الأرز، الجاجري، السمن,vegetarian,نباتي,15,75,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Bandar laddu,بندر لادو,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",بيسان، جاجري، مسحوق الهيل، سمن، كاجو، زبيب، شراب جاجري، سكر,vegetarian,نباتي,5,35,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Chikki,تشيكي,"Peanuts, jaggery",الفول السوداني، الجاجري,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Maharashtra,West
Dharwad pedha,درواد بيدها,"Milk, Sugar, Dharwadi buffalo milk",الحليب والسكر وحليب الجاموس دروادي,vegetarian,نباتي,20,60,sweet,dessert,حلو,تحلية,Karnataka,South
Double ka meetha,مزدوج كا ميتا,"Loaf bread, milk",رغيف خبز، حليب,vegetarian,نباتي,20,30,sweet,dessert,حلو,تحلية,Telangana,South
Gavvalu,جاففالو,"Rice flour, sugar, salt, ghee, semolina",دقيق الأرز، السكر، الملح، السمن، السميد,vegetarian,نباتي,10,30,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Kakinada khaja,كاكينادا خاجا,"Wheat flour, sugar",دقيق القمح، السكر,vegetarian,نباتي,10,30,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Kuzhi paniyaram,كوزي بانيارام,"Black lentils, rice",العدس الأسود، الأرز,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Kerala,South
Mysore pak,ميسور باك,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",دقيق بيسان ، سميد ، فاصوليا مونج ، جاجري ، جوز الهند ، حليب بودرة منزوع الدسم ، سكر ، سمن,vegetarian,نباتي,5,20,sweet,dessert,حلو,تحلية,Karnataka,South
Obbattu holige,تحية طيبة,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",دقيق المائدة، الكركم، جوز الهند، الحمص، الجاجري، السمن، الهيل,vegetarian,نباتي,180,60,sweet,main course,حلو,طبق رئيسي,Karnataka,South
Palathalikalu,بالاثاليكالو,"Rice flour, milk",دقيق الأرز، الحليب,vegetarian,نباتي,10,25,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Poornalu,بورنالو,"Chana dal, jaggery",شانا دال، جاجري,vegetarian,نباتي,240,60,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Pongal,بونجال,"Rice, jaggery, cashews, ghee",الأرز، الجاجري، الكاجو، السمن,vegetarian,نباتي,5,20,sweet,dessert,حلو,تحلية,Tamil Nadu,South
Pootharekulu,بوثاركولو,"Rice flour, powdered sugar, ghee",دقيق الأرز، السكر البودرة، السمن,vegetarian,نباتي,10,60,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Qubani ka meetha,قباني كا ميتا,"Apricots, sugar syrup",المشمش، شراب السكر,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Telangana,South
Sheer korma,كورما محض,"Vermicelli pudding, milk",بودنغ الشعيرية، الحليب,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Telangana,South
Unni Appam,أوني أبام,"Rice flour, banana, jaggery, coconut",دقيق الأرز، الموز، الجاجري، جوز الهند,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Tamil Nadu,South
Kajjikaya,كاجيكايا,"Rice flour, jaggery, coconut",دقيق الأرز، الجاجري، جوز الهند,vegetarian,نباتي,40,15,sweet,dessert,حلو,تحلية,Andhra Pradesh,South
Anarsa,أنارسا,"Rice flour, jaggery, khus-khus seeds",دقيق الأرز، الجاجري، بذور الخوص,vegetarian,نباتي,10,50,sweet,dessert,حلو,تحلية,Maharashtra,West
Basundi,باسوندي,"Sugar, milk, nuts",سكر، حليب، مكسرات,vegetarian,نباتي,10,35,sweet,dessert,حلو,تحلية,Gujarat,West
Dhondas,دونداس,"Cucumber, rava",خيار، رافا,vegetarian,نباتي,10,50,sweet,dessert,حلو,تحلية,Maharashtra,West
Doodhpak,دودباك,"Milk, rice, sugar, dry fruits",الحليب، الأرز، السكر، الفواكه الجافة,vegetarian,نباتي,10,60,sweet,dessert,حلو,تحلية,Gujarat,West
Mahim halwa,مهيم حلوة,"Semolina, sugar",سميد، سكر,vegetarian,نباتي,10,25,sweet,dessert,حلو,تحلية,Maharashtra,West
Modak,موداك,"Rice flour, coconut, jaggery ",دقيق الأرز، جوز الهند، الجاجري,vegetarian,نباتي,10,15,sweet,dessert,حلو,تحلية,Maharashtra,West
Shankarpali,شانكاربالي,"Sugar, ghee, maida flour, semolina",سكر، سمن، طحينة، سميد,vegetarian,نباتي,10,35,sweet,dessert,حلو,تحلية,Maharashtra,West
Shrikhand,شريكاند,"Curd, sugar, saffron, cardamom",خثارة، سكر، زعفران، هيل,vegetarian,نباتي,10,720,sweet,dessert,حلو,تحلية,Maharashtra,West
Sutar feni,سوتار فيني,"Maida, sugar, ghee",مايدة، سكر، سمن,vegetarian,نباتي,15,55,sweet,dessert,حلو,تحلية,Maharashtra,West
Maach Jhol,ماخ جول,"Fish, potol, tomato, chillies, ginger, garlic",السمك، البوتول، الطماطم، الفلفل، الزنجبيل، الثوم,non vegetarian,غير نباتي,10,40,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Pork Bharta,لحم الخنزير بهارتا,"Boiled pork, onions, chillies, ginger and garlic",لحم الخنزير المسلوق والبصل والفلفل والزنجبيل والثوم,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Tripura,North East
Chak Hao Kheer,تشاك هاو خير,"Rice, milk, sugar, cardamom",أرز، حليب، سكر، هيل,vegetarian,نباتي,240,45,sweet,dessert,حلو,تحلية,Manipur,North East
Galho,جالهو,"Rice, axone, salt, water, chillies, pork",أرز، أكسون، ملح، ماء، فلفل حار، لحم خنزير,non vegetarian,غير نباتي,5,15,spicy,main course,بهارات,طبق رئيسي,Nagaland,North East
Aloo gobi,ألو جوبي,"Cauliflower, potato, garam masala, turmeric, curry leaves",قرنبيط، بطاطا، جارام ماسالا، كركم، أوراق الكاري,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Aloo tikki,ألو تيكي,"Rice flour, potato, bread crumbs, garam masala, salt",دقيق الأرز، البطاطس، فتات الخبز، جارام ماسالا، ملح,vegetarian,نباتي,5,20,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Aloo matar,الو مطر,"Potato, peas, chillies, ginger, garam masala, garlic",بطاطا، بازلاء، فلفل حار، زنجبيل، جارام ماسالا، ثوم,vegetarian,نباتي,5,40,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Aloo methi,ألو ميثي,"Potato, fenugreek leaves, chillies, salt, oil",بطاطا، أوراق الحلبة، فلفل حار، ملح، زيت,vegetarian,نباتي,10,40,bitter,main course,بهارات,طبق رئيسي,Punjab,North
Aloo shimla mirch,ألو شيملا ميرش,"Potato, shimla mirch, garam masala, amchur powder, salt",بطاطا، شيملا ميرش، جارام ماسالا، مسحوق أمشور، ملح,vegetarian,نباتي,10,40,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Bhatura,بهاتورا,"Chole, rava, yogurt, plain flour, baking soda",شول، رافا، زبادي، دقيق عادي، صودا الخبز,vegetarian,نباتي,20,20,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Bhindi masala,بهندي ماسالا,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",أصابع السيدات، جارام ماسالا، كاسوري ميثي، طماطم، مسحوق الفلفل الحار,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Biryani,برياني,"Chicken thighs, basmati rice, star anise, sweet, green chillies",أفخاذ دجاج، أرز بسمتي، يانسون نجمي، فلفل أخضر حلو,non vegetarian,غير نباتي,30,120,spicy,main course,بهارات,طبق رئيسي,Telangana,South
Butter chicken,دجاج بالزبدة,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",دجاج، زبادي يوناني، كريمة، مسحوق جارام ماسالا، كاجو، زبدة,non vegetarian,غير نباتي,10,35,spicy,main course,بهارات,طبق رئيسي,NCT of Delhi,North
Chana masala,شانا ماسالا,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",حمص، معجون طماطم، جارام ماسالا، زنجبيل، بصل أحمر، زيت الأفوكادو,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Chapati,جباتي,"Whole wheat flour, olive oil, hot water, all purpose flour",دقيق القمح الكامل، زيت زيتون، ماء ساخن، دقيق لجميع الأغراض,vegetarian,نباتي,10,10,-1,main course,,طبق رئيسي,Maharashtra,West
Chicken razala,رازالا دجاج,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",دجاج، داهي، سمسم، مسحوق جارام ماسالا، كاجو، زعفران,non vegetarian,غير نباتي,10,35,spicy,main course,بهارات,طبق رئيسي,West Bengal,East
Chicken Tikka masala,دجاج تكا ماسالا,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",خبز نان، صلصة طماطم، صدور دجاج منزوعة الجلد، كريمة ثقيلة، جارام ماسالا,non vegetarian,غير نباتي,10,50,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Chicken Tikka,دجاج تيكا,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",دجاج، خبز القمح الكامل، دقيق الأرز، مسحوق جارام ماسالا، بيضة كاملة,non vegetarian,غير نباتي,120,45,spicy,starter,بهارات,مقبلات,Punjab,North
Chole bhature,شول بهاتور,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",شولي، باتورا، جارام ماسالا، ورق الغار، عود القرفة,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Daal baati churma,دال باتي تشورما,"Moong dal, masoor dal, chana dal, wheat flour, almond",مونج دال، ماسور دال، تشانا دال، دقيق القمح، اللوز,vegetarian,نباتي,10,90,spicy,main course,بهارات,طبق رئيسي,Rajasthan,West
Daal puri,دال بوري,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",مونج دال، مسحوق جارام ماسالا، ثوم، فلفل أخضر حار، دقيق لجميع الأغراض,vegetarian,نباتي,30,30,spicy,main course,بهارات,طبق رئيسي,West Bengal,East
Dal makhani ,دال ماخاني,"Red kidney beans, urad dal, cream, garam masala, chili powder",فاصوليا حمراء، أوراد دال، كريمة، جارام ماسالا، مسحوق الفلفل الحار,vegetarian,نباتي,10,60,sweet,main course,حلو,طبق رئيسي,Punjab,North
Dal tadka,دال تادكا,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",بازلاء حمامة، جارام ماسالا، زنجبيل، بصل أحمر، كاسوري ميثي,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Punjab,North
Dum aloo,دوم ألو,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",بطاطا صغيرة، جارام ماسالا، كاجو، كاسوري ميثي، طماطم,vegetarian,نباتي,20,50,spicy,main course,بهارات,طبق رئيسي,Jammu & Kashmir,North
Poha,بوها,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",رقائق الأرز المخفوقة، البطاطس، أوراق الكاري، الفلفل الأخضر الحار، عصير الليمون,vegetarian,نباتي,20,30,spicy,snack,بهارات,تسالي,Maharashtra,West
Fara,فارا,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",شانا دال، دقيق القمح الكامل، أرهار دال، أبيض أوراد دال، مسحوق جارام ماسالا,vegetarian,نباتي,10,60,spicy,snack,بهارات,تسالي,Chhattisgarh,Central
